Account,Account Name,Type Acct,Trade Date Balance,Settle Date Balance,Buying Power,NYSE Excess,Fed Call,House Call,Equity,Market Value,Maximum Cash,Money Mkt Fund,Currency
"491-00040","NEWTYN PARTNERS, LP","2","(32889397.3300)","(20239350.8200)","0.0000","0.0000","0.0000","0.0000","87213703.0000","120361084.0000","0.0000","0.0000","US Dollar (USD)"
"491-00040","NEWTYN PARTNERS, LP","5","77476846.5200","75714939.0200","0.0000","0.0000","0.0000","0.0000","0.0000","(77734829.3700)","0.0000","0.0000","US Dollar (USD)"
"491-00040","NEWTYN PARTNERS, LP","2","(128759.2000)","0.0000","0.0000","0.0000","0.0000","0.0000","37962563.0000","38091322.8000","0.0000","0.0000","New Polish Zloty (PLN)"
"491-00040","NEWTYN PARTNERS, LP","2","(32931289.9900)","(20239350.8200)","0.0000","0.0000","0.0000","0.0000","99565076.1700","132754350.0300","0.0000","0.0000","USD Equivalent"
"491-00040","NEWTYN PARTNERS, LP","5","77476846.5200","75714939.0200","0.0000","0.0000","0.0000","0.0000","0.0000","(77734829.3700)","0.0000","0.0000","USD Equivalent"
"491-00041","NEWTYN TE PARTNERS, LP","2","(26157190.1600)","(20848736.8700)","0.0000","0.0000","0.0000","0.0000","27262892.0000","53529982.7000","0.0000","0.0000","US Dollar (USD)"
"491-00041","NEWTYN TE PARTNERS, LP","5","34382896.1700","34580758.3700","0.0000","0.0000","0.0000","0.0000","0.0000","(34492796.6300)","0.0000","0.0000","US Dollar (USD)"
"491-00041","NEWTYN TE PARTNERS, LP","2","(57027.1500)","0.0000","0.0000","0.0000","0.0000","0.0000","16817470.0000","16874497.6000","0.0000","0.0000","New Polish Zloty (PLN)"
"491-00041","NEWTYN TE PARTNERS, LP","2","(26175744.3200)","(20848736.8700)","0.0000","0.0000","0.0000","0.0000","32734568.0700","59020213.0900","0.0000","0.0000","USD Equivalent"
"491-00041","NEWTYN TE PARTNERS, LP","5","34382896.1700","34580758.3700","0.0000","0.0000","0.0000","0.0000","0.0000","(34492796.6300)","0.0000","0.0000","USD Equivalent"
